"province","district","commune"
"Bac Kan","Na Ri","Xuan Duong"
"Bac Kan","Na Ri","Duong Son"
"Bac Kan","Pac Nam","Co Linh"
"Bac Kan","Cho Don","Bang Phuc"
"Bac Kan","Ngan Son","Van Tung"
"Bac Kan","Bach Thong","Quang Thuan"
"Bac Kan","Bach Thong","Cam Giang"
"Bac Kan","Thanh pho Bac Kan","Duong Quang"
"Bac Kan","Na Ri","Son Thanh"
"Bac Kan","Bach Thong","My Thanh"
"Bac Kan","Ba Be","Cao Thuong"
"Bac Kan","Ngan Son","Duc Van"
"Bac Kan","Na Ri","Van Minh"
"Bac Kan","Na Ri","Van Lang"
"Bac Kan","Bach Thong","Quan Ha"
"Bac Kan","Na Ri","Thi Tran Yen Lac"
"Bac Kan","Ba Be","Thuong Giao"
"Bac Kan","Thanh pho Bac Kan","Duc Xuan"
"Bac Kan","Ngan Son","Thuong An"
"Bac Kan","Bach Thong","Don Phong"
"Bac Kan","Ba Be","Ha Hieu"
"Bac Kan","Bach Thong","Tan Tu"
"Bac Kan","Na Ri","Liem Thuy"
"Bac Kan","Ngan Son","Trung Hoa"
"Bac Kan","Na Ri","Luong Thuong"
"Bac Kan","Pac Nam","Giao Hieu"
"Bac Kan","Na Ri","Cu Le"
"Bac Kan","Na Ri","Dong Xa"
"Bac Kan","Na Ri","Tran Phu"
"Bac Kan","Ngan Son","Bang Van"
"Bac Kan","Pac Nam","Bang Thanh"
"Bac Kan","Ba Be","Chu Huong"
"Bac Kan","Ngan Son","Coc Dan"
"Bac Kan","Ngan Son","Thuan Mang"
"Bac Kan","Ba Be","Hoang Tri"
"Bac Kan","Ba Be","Dong Phuc"
"Bac Kan","Na Ri","Kim Hy"
"Bac Kan","Ba Be","Yen Duong"
"Bac Kan","Cho Don","Yen Thuong"
"Bac Kan","Ba Be","Dia Linh"
"Bac Kan","Ba Be","Quang Khe"
"Bac Kan","Ba Be","Khang Ninh"
"Bac Kan","Ba Be","Banh Trach"
"Bac Kan","Bach Thong","Duong Phong"
"Bac Kan","Pac Nam","Nhan Mon"
"Bac Kan","Cho Don","Nghia Ta"
"Bac Kan","Thanh pho Bac Kan","Xuat Hoa"
"Bac Kan","Ba Be","Phuc Loc"
"Bac Kan","Cho Don","Yen Thinh"
"Bac Kan","Thanh pho Bac Kan","Nong Thuong"
"Bac Kan","Cho Don","Phuong Vien"
"Bac Kan","Na Ri","Quang Phong"
"Bac Kan","Pac Nam","Nghien Loan"
"Bac Kan","Ba Be","My Phuong"
"Bac Kan","Cho Don","Dong Lac"
"Bac Kan","Cho Don","Bang Lang"
"Bac Kan","Cho Don","Quang Bach"
